s,nfe,method,err
0.1,20,rk2_lam,0.00036815035575679667
0.1,50,dpm1,0.0018590152542244248
0.1,50,euler_t,0.0010569805652854633
0.1,50,euler_lam,0.0016037985085263565
0.1,50,dpm2,0.00038864696778644764
0.1,50,rk2_t,0.00015337804791736714
0.1,50,rk2_lam,0.00014283197029728995
0.21544346900318823,10,dpm1,0.012423505944123392
0.21544346900318823,10,euler_t,0.0020436220897082427
0.21544346900318823,10,euler_lam,0.006141134963906926
0.21544346900318823,10,dpm2,0.01579483804586662
0.21544346900318823,10,rk2_t,0.005079880636418954
0.21544346900318823,10,rk2_lam,0.003242513707582634
0.21544346900318823,20,dpm1,0.006586145840383022
0.21544346900318823,20,euler_t,0.0013501287531308553
0.21544346900318823,20,euler_lam,0.0028463515932049127
0.21544346900318823,20,dpm2,0.0038870140836521697
0.21544346900318823,20,rk2_t,0.0008755713860733039
0.21544346900318823,20,rk2_lam,0.00011507094675144297
0.21544346900318823,50,dpm1,0.0027294083830367993
0.21544346900318823,50,euler_t,0.0006155054654454623
0.21544346900318823,50,euler_lam,0.0010866864672810436
0.21544346900318823,50,dpm2,0.0005705988722883165
0.21544346900318823,50,rk2_t,0.00011401005591425706
0.21544346900318823,50,rk2_lam,5.384255612913419e-05
0.46415888336127775,10,dpm1,0.018250978681807542
0.46415888336127775,10,euler_t,0.0002916825653725419
0.46415888336127775,10,euler_lam,0.0021111425317989763
0.46415888336127775,10,dpm2,0.024484645915832035
0.46415888336127775,10,rk2_t,0.0020986969035978464
0.46415888336127775,10,rk2_lam,0.0034201188636108493
0.46415888336127775,20,dpm1,0.009668164423640893
0.46415888336127775,20,euler_t,0.00033723273147762134
0.46415888336127775,20,euler_lam,0.0010401504082929447
0.46415888336127775,20,dpm2,0.005721411480521715
0.46415888336127775,20,rk2_t,0.0004358693327638635
0.46415888336127775,20,rk2_lam,0.00015109665596772792
0.46415888336127775,50,dpm1,0.0040067001014071485
0.46415888336127775,50,euler_t,0.00017945548533666866
0.46415888336127775,50,euler_lam,0.00040512479505895593
0.46415888336127775,50,dpm2,0.0008376155621474812
0.46415888336127775,50,rk2_t,6.307531134114308e-05
0.46415888336127775,50,rk2_lam,3.744200415684018e-06
1.0,10,dpm1,0.02678063122502508
1.0,10,euler_t,8.326672684688674e-17
1.0,10,euler_lam,2.7755575615628914e-17
1.0,10,dpm2,0.040027139138703455
1.0,10,rk2_t,5.551115123125783e-17
1.0,10,rk2_lam,2.7755575615628914e-17
1.0,20,dpm1,0.014191384856517594
1.0,20,euler_t,2.7755575615628914e-17
1.0,20,euler_lam,0.0
1.0,20,dpm2,0.0083885780438811
1.0,20,rk2_t,5.551115123125783e-17
1.0,20,rk2_lam,0.0
1.0,50,dpm1,0.005881252265285158
1.0,50,euler_t,0.0
1.0,50,euler_lam,0.0
1.0,50,dpm2,0.0012294926393645045
1.0,50,rk2_t,0.0
1.0,50,rk2_lam,0.0
